arm,scenario,label,category,width,height,num_agents,max_steps,obstacle_ratio,episodes,coverage_ratio_mean,coverage_ratio_std,coverage_auc_mean,coverage_auc_std,coverage_completed_mean,coverage_completed_std,mission_completed_mean,mission_completed_std,returned_to_depot_mean,returned_to_depot_std,steps_mean,steps_std,coverage_steps_mean,coverage_steps_std,return_steps_mean,return_steps_std,path_length_mean,path_length_std,avg_agent_path_length_mean,avg_agent_path_length_std,global_repeat_ratio_mean,global_repeat_ratio_std,repeat_ratio_mean,repeat_ratio_std,repeat_ratio_after_90_mean,repeat_ratio_after_90_std,inter_agent_overlap_ratio_mean,inter_agent_overlap_ratio_std,stalled_mean,stalled_std,stall_termination_coverage_mean,stall_termination_coverage_std,total_reward_mean,total_reward_std,t90_reach_rate,t90_mean_reached,t95_reach_rate,t95_mean_reached,t99_reach_rate,t99_mean_reached,coverage_at_100_mean,coverage_at_125_mean,coverage_at_200_mean,coverage_at_250_mean,coverage_at_300_mean,coverage_at_375_mean,coverage_at_50_mean,coverage_at_500_mean,coverage_at_1000_mean,coverage_at_112_mean,coverage_at_1125_mean,coverage_at_281_mean,coverage_at_562_mean,coverage_at_750_mean,coverage_at_844_mean
GAT-OFF,native_20x20_4a,Course-4 native 20x20 / 4 agents,course-native,20,20,4,500,0.05,1,1.0,0.0,0.8735894736842106,0.0,1.0,0.0,1.0,0.0,0.0,0.0,166.0,0.0,166.0,0.0,0.0,0.0,660.0,0.0,165.0,0.0,0.4311377245508982,0.0,0.4311377245508982,0.0,0.7934782608695652,0.0,0.5631578947368421,0.0,0.0,0.0,1.0,0.0,79.25624953210354,0.0,1.0,120.0,1.0,130.0,1.0,149.0,0.7684210526315789,0.9315789473684211,1.0,1.0,1.0,1.0,0.4368421052631579,1.0,,,,,,,
GAT-ON,native_20x20_4a,Course-4 native 20x20 / 4 agents,course-native,20,20,4,500,0.05,1,1.0,0.0,0.8944736842105262,0.0,1.0,0.0,1.0,0.0,0.0,0.0,123.0,0.0,123.0,0.0,0.0,0.0,482.0,0.0,120.5,0.0,0.23387096774193547,0.0,0.23387096774193547,0.0,0.6346153846153846,0.0,0.14473684210526316,0.0,0.0,0.0,1.0,0.0,87.23124910891056,0.0,1.0,97.0,1.0,106.0,1.0,120.0,0.9236842105263158,1.0,1.0,1.0,1.0,1.0,0.4868421052631579,1.0,,,,,,,
GAT-CUAP,native_20x20_4a,Course-4 native 20x20 / 4 agents,course-native,20,20,4,500,0.05,1,1.0,0.0,0.8936315789473684,0.0,1.0,0.0,1.0,0.0,0.0,0.0,124.0,0.0,124.0,0.0,0.0,0.0,492.0,0.0,123.0,0.0,0.24,0.0,0.24,0.0,0.625,0.0,0.15,0.0,0.0,0.0,1.0,0.0,88.96874886006117,0.0,1.0,100.0,1.0,110.0,1.0,121.0,0.9052631578947369,1.0,1.0,1.0,1.0,1.0,0.4763157894736842,1.0,,,,,,,
GAT-OFF,unseen_20x20_4a_r05,Unseen 20x20 / 4 agents / 5% obstacles,same-size,20,20,4,500,0.05,5,0.9047368421052632,0.19052631578947374,0.759758947368421,0.17591826320348847,0.8,0.4000000000000001,0.8,0.4000000000000001,0.0,0.0,369.4,97.41991582833562,369.4,97.41991582833562,0.0,0.0,1102.6,364.6102576724906,275.65,91.15256441812265,0.7409897080801329,0.1042617017256522,0.7409897080801329,0.1042617017256522,0.7310432565034464,0.36700993318949793,0.7320576567045756,0.3661183155992376,0.6,0.48989794855663565,0.8778947368421053,0.18315940713229187,-55.39156234040856,191.22816765225048,0.8,203.25,0.8,220.75,0.8,293.0,0.6257894736842105,0.7063157894736841,0.8605263157894736,0.8763157894736843,0.8784210526315789,0.8852631578947369,0.4036842105263158,0.9047368421052632,,,,,,,
GAT-ON,unseen_20x20_4a_r05,Unseen 20x20 / 4 agents / 5% obstacles,same-size,20,20,4,500,0.05,5,0.9936842105263157,0.012631578947368417,0.825522105263158,0.11876507211071191,0.8,0.4000000000000001,0.8,0.4000000000000001,0.0,0.0,241.4,130.66384350691663,241.4,130.66384350691663,0.0,0.0,659.0,107.80352498874979,164.75,26.950881247187446,0.5290488617011476,0.15691484617356205,0.5290488617011476,0.15691484617356205,0.8513823275563807,0.08063833750118557,0.34633295194508007,0.1929888958790837,0.2,0.4000000000000001,0.9936842105263157,0.012631578947368417,-11.884999976307153,185.5427688271191,1.0,167.2,1.0,194.6,0.8,155.0,0.7252631578947368,0.8157894736842104,0.9010526315789473,0.9278947368421052,0.9442105263157895,0.9778947368421053,0.41789473684210526,0.9936842105263157,,,,,,,
GAT-CUAP,unseen_20x20_4a_r05,Unseen 20x20 / 4 agents / 5% obstacles,same-size,20,20,4,500,0.05,5,0.9984210526315789,0.0021052631578947433,0.8219463157894736,0.12241630023811743,0.6,0.48989794855663565,0.6,0.48989794855663565,0.0,0.0,297.6,166.17773617425408,297.6,166.17773617425408,0.0,0.0,745.6,317.3651524663664,186.4,79.3412881165916,0.5699650609654132,0.20538575597181527,0.5699650609654132,0.20538575597181527,0.8454801054120612,0.10119554818336057,0.2759547358575271,0.14409575556966728,0.2,0.4000000000000001,0.9984210526315789,0.0021052631578947433,-56.28125088214874,181.55735809935837,1.0,171.0,1.0,196.6,1.0,221.2,0.7231578947368422,0.8152631578947368,0.8973684210526315,0.9194736842105264,0.9442105263157895,0.9705263157894738,0.4047368421052632,0.9984210526315789,,,,,,,
GAT-OFF,stress_20x20_4a_r10,Obstacle stress 20x20 / 4 agents / 10%,obstacle-stress,20,20,4,500,0.1,3,0.612962962962963,0.43309783090953713,0.4810462962962963,0.3575395704116551,0.3333333333333333,0.4714045207910317,0.3333333333333333,0.4714045207910317,0.0,0.0,491.6666666666667,11.785113019775793,491.6666666666667,11.785113019775793,0.0,0.0,795.3333333333334,796.1981886160979,198.83333333333334,199.04954715402448,0.8867419223178293,0.08068617186555008,0.8867419223178293,0.08068617186555008,0.325,0.4596194077712558,0.44185556794252445,0.4095991953405135,1.0,0.0,0.6101851851851853,0.4306262387221598,-227.64478681981564,193.26446045077887,0.3333333333333333,115.0,0.3333333333333333,153.0,0.3333333333333333,321.0,0.37407407407407406,0.42037037037037034,0.5055555555555555,0.5342592592592593,0.5750000000000001,0.6101851851851853,0.2157407407407407,0.612962962962963,,,,,,,
GAT-ON,stress_20x20_4a_r10,Obstacle stress 20x20 / 4 agents / 10%,obstacle-stress,20,20,4,500,0.1,3,0.5407407407407407,0.40813697302708896,0.4541314814814814,0.35532395762575003,0.3333333333333333,0.4714045207910317,0.3333333333333333,0.4714045207910317,0.0,0.0,412.6666666666667,123.50798444725031,412.6666666666667,123.50798444725031,0.0,0.0,443.3333333333333,339.58536809206345,110.83333333333333,84.89634202301586,0.8372181717457693,0.15755873555878738,0.8372181717457693,0.15755873555878738,0.3060606060606061,0.4328350599990382,0.272804591922239,0.19899597279517903,0.6666666666666666,0.4714045207910317,0.5407407407407407,0.40813697302708896,-235.91978766707084,197.46069635765912,0.3333333333333333,128.0,0.3333333333333333,140.0,0.3333333333333333,208.0,0.362962962962963,0.412962962962963,0.5037037037037037,0.5388888888888889,0.5407407407407407,0.5407407407407407,0.21851851851851847,0.5407407407407407,,,,,,,
GAT-CUAP,stress_20x20_4a_r10,Obstacle stress 20x20 / 4 agents / 10%,obstacle-stress,20,20,4,500,0.1,3,0.6101851851851852,0.43171786562601955,0.48754629629629626,0.3635429506987358,0.3333333333333333,0.4714045207910317,0.3333333333333333,0.4714045207910317,0.0,0.0,397.3333333333333,145.19259240363778,397.3333333333333,145.19259240363778,0.0,0.0,420.0,313.776990870905,105.0,78.44424771772626,0.794825719890099,0.19406608297264077,0.794825719890099,0.19406608297264077,0.29835390946502055,0.42193614515246664,0.2214964964964965,0.15424947571585607,0.6666666666666666,0.4714045207910317,0.6101851851851852,0.43171786562601955,-216.9604122688373,208.6982324422635,0.3333333333333333,111.0,0.3333333333333333,122.0,0.3333333333333333,167.0,0.375,0.4342592592592592,0.5111111111111111,0.5481481481481482,0.5916666666666667,0.6101851851851852,0.22314814814814818,0.6101851851851852,,,,,,,
GAT-OFF,stress_20x20_4a_r15,Obstacle stress 20x20 / 4 agents / 15%,obstacle-stress,20,20,4,500,0.15,3,0.8382352941176471,0.13133596212803592,0.6828725490196078,0.1494650576820447,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,500.0,0.0,0.0,0.0,1198.0,601.4670952484988,299.5,150.3667738121247,0.8577844311377246,0.022282548464836422,0.8577844311377246,0.022282548464836422,0.32590233545647557,0.4608955028116138,0.5541729200965101,0.39004717377902726,1.0,0.0,0.8382352941176471,0.13133596212803592,-210.03645785773793,180.7449021019135,0.3333333333333333,186.0,0.3333333333333333,221.0,0.0,nan,0.5264705882352941,0.5774509803921569,0.7470588235294118,0.8039215686274509,0.8274509803921569,0.8382352941176471,0.3303921568627451,0.8382352941176471,,,,,,,
